Zip Code,Lat,Long,Lat Feet,Long Feet
92539,33.5546,-116.697,2145690,6425480
92543,33.7022,-116.979,2199890,6339880
92544,33.6421,-116.899,2177850,6364200
92545,33.7314,-117.04,2210660,6321330
92548,33.7606,-117.111,2221460,6300130
92549,33.7837,-116.777,2229190,6401510
92551,33.8812,-117.226,2265640,6265400
92553,33.9231,-117.245,2280950,6259720
92555,33.9046,-117.107,2273870,6301480
92557,33.9716,-117.259,2298670,6255810
92561,33.5876,-116.48,2157510,6491720
92562,33.5478,-117.268,2144470,6251450
92563,33.5817,-117.146,2156450,6288710
92567,33.8107,-117.103,2239670,6302540
92570,33.7844,-117.321,2230700,6236220
92571,33.8316,-117.189,2247520,6276380
92582,33.8082,-117.017,2238560,6328720
92583,33.7922,-116.92,2232550,6358050
92584,33.6604,-117.175,2185160,6280270
92585,33.7424,-117.17,2214990,6281980
92586,33.7065,-117.2,2202010,6272780
92587,33.6963,-117.249,2198430,6257880
92590,33.4813,-117.218,2120110,6266430
92591,33.5324,-117.111,2138420,6299220
92592,33.5064,-117.014,2128740,6328900
92595,33.6183,-117.26,2170100,6254090
92596,33.6406,-117.072,2177700,6311340
92602,33.7418,-117.739,2216770,6109060
92603,33.626,-117.791,2174890,6092600
92604,33.6881,-117.789,2197450,6093660
92606,33.6976,-117.813,2201020,6086360
92610,33.7064,-117.665,2203580,6131210
92612,33.6604,-117.826,2187540,6082080
92614,33.6819,-117.833,2195400,6080190
92617,33.6419,-117.842,2180910,6077010
92618,33.6786,-117.726,2193730,6112500
92620,33.7088,-117.756,2204860,6103570
92624,33.4584,-117.665,2113360,6130060
92625,33.6016,-117.866,2166320,6069740
92626,33.6791,-117.909,2194750,6057110
92627,33.6482,-117.92,2183550,6053350
92629,33.4777,-117.705,2120550,6117960
92630,33.6462,-117.686,2181770,6124770
92637,33.6088,-117.729,2168350,6111370
92646,33.665,-117.968,2189910,6038900
92647,33.7236,-118.007,2211430,6027560
92648,33.6823,-118.013,2196420,6025480
92649,33.7213,-118.045,2210760,6015900
92651,33.5588,-117.773,2150350,6097760
92653,33.5918,-117.699,2162020,6120550
92655,33.745,-117.985,2219100,6034260
92656,33.575,-117.732,2156060,6110250
92657,33.5906,-117.829,2162160,6080860
92660,33.6331,-117.875,2177840,6067190
92661,33.6016,-117.902,2166510,6058800
92662,33.6065,-117.893,2168260,6061460
92663,33.6248,-117.932,2175080,6049590
92672,33.396,-117.554,2090210,6163720
92673,33.4663,-117.612,2116020,6146430
92675,33.5658,-117.544,2151930,6167400
92676,33.7451,-117.608,2217440,6148970
92677,33.5277,-117.704,2138740,6118470
92679,33.6512,-117.564,2183100,6161930
92683,33.7525,-117.994,2221860,6031600
92688,33.6297,-117.611,2175470,6147380
92691,33.6106,-117.666,2168710,6130510
92692,33.6095,-117.643,2168250,6137470
92694,33.5483,-117.639,2145940,6138400
92697,33.647,-117.841,2182750,6077380
92701,33.7483,-117.859,2219680,6072700
92703,33.7486,-117.906,2220010,6058410
92704,33.7208,-117.908,2209910,6057420
92705,33.7569,-117.814,2222620,6086280
92706,33.7659,-117.882,2226170,6065840
92707,33.7092,-117.871,2205520,6068830
92708,33.7104,-117.951,2206320,6044260
92780,33.7358,-117.819,2214930,6084610
92782,33.7271,-117.8,2211690,6090470
92801,33.8449,-117.952,2255270,6044980
92802,33.8081,-117.924,2241740,6053320
92804,33.8187,-117.975,2245850,6037850
92805,33.8297,-117.906,2249530,6058870
92806,33.8382,-117.87,2252440,6069690
92807,33.85,-117.789,2256360,6094320
92808,33.8201,-117.701,2245100,6121110
92821,33.9275,-117.885,2285010,6065790
92823,33.9293,-117.807,2285290,6089430
92831,33.8793,-117.896,2267540,6061970
92832,33.8684,-117.929,2263720,6051950
92833,33.88,-117.961,2268090,6042340
92835,33.902,-117.915,2275890,6056340
92840,33.7859,-117.932,2233710,6050650
92841,33.7871,-117.982,2234400,6035510
92843,33.7639,-117.931,2225710,6050710
92844,33.7655,-117.97,2226480,6039080
92845,33.783,-118.026,2233150,6021890
92860,33.9246,-117.552,2282540,6166600
92861,33.8173,-117.81,2244570,6087800
92865,33.829,-117.848,2248990,6076240
92866,33.7846,-117.845,2232830,6077160
92867,33.8155,-117.824,2243970,6083660
92868,33.7877,-117.876,2234110,6067510
92869,33.8013,-117.774,2238560,6098760
92870,33.8809,-117.855,2267900,6074440
92879,33.88,-117.538,2266260,6170670
92880,33.9241,-117.609,2282570,6149440
92881,33.8407,-117.496,2251800,6183190
92882,33.8429,-117.607,2253030,6149620
92883,33.7646,-117.493,2224090,6184010
92886,33.8966,-117.795,2273350,6092840
92887,33.8841,-117.732,2268520,6111890
93001,34.3476,-119.326,2447710,5633250
93003,34.2794,-119.219,2421950,5664670
93004,34.2807,-119.165,2421990,5681010
93010,34.2295,-119.076,2402610,5707570
93012,34.2061,-118.992,2393410,5732500
93013,34.4147,-119.515,2473850,5576870
93015,34.409,-118.874,2466330,5770300
93021,34.3094,-118.865,2430000,5771950
93022,34.4039,-119.298,2467940,5642130
93023,34.5187,-119.272,2509490,5651340
93030,34.2073,-119.18,2395400,5675810
93033,34.1534,-119.123,2375320,5692510
93035,34.1851,-119.224,2387710,5662180
93036,34.2376,-119.174,2406370,5678060
93040,34.4702,-118.769,2487790,5802340
93041,34.1507,-119.168,2374700,5678860
93042,34.1098,-119.113,2359340,5695200
93043,34.1623,-119.206,2379250,5667340
93060,34.3798,-119.104,2457530,5700430
93063,34.2882,-118.689,2421010,5824850
93065,34.2838,-118.77,2419990,5800490
93066,34.2976,-119.032,2427050,5721340
93067,34.4198,-119.596,2476500,5552470
93101,34.4195,-119.708,2477490,5518910
93103,34.4351,-119.684,2482930,5526110
93105,34.5733,-119.767,2534040,5502820
93106,34.4154,-119.849,2477440,5476240
93108,34.4539,-119.544,2488410,5568600
93109,34.4063,-119.726,2472870,5513060
93110,34.4351,-119.769,2483760,5500630
93111,34.4516,-119.803,2490130,5490510
93117,34.4942,-120.047,2508230,5417690
93202,36.3091,-119.708,3165360,5541660
93203,35.1168,-118.83,2723560,5789730
93204,35.9043,-120.082,3021780,5425980
93205,35.5768,-118.491,2888740,5894720
93206,35.4222,-119.481,2840180,5598450
93207,35.8721,-118.893,2999120,5777790
93210,36.1982,-120.403,3132420,5334970
93212,36.0527,-119.538,3070330,5588710
93215,35.7719,-119.154,2964680,5699550
93219,35.8769,-119.349,3004580,5642780
93221,36.3093,-119.075,3159800,5728320
93222,34.846,-119.181,2627810,5682030
93223,36.2937,-119.203,3155170,5690290
93224,35.2246,-119.582,2769210,5566190
93225,34.8163,-119.079,2616120,5712380
93226,35.7397,-118.677,2949320,5840890
93230,36.2922,-119.621,3158320,5567050
93234,36.2863,-120.091,3160950,5428430
93235,36.3856,-119.221,3188790,5686150
93238,35.7313,-118.371,2944280,5931790
93239,35.9427,-119.772,3032500,5518280
93240,35.6236,-118.423,2905370,5915360
93241,35.2536,-118.914,2774040,5765990
93242,36.4482,-119.715,3216100,5541270
93243,34.8089,-118.825,2611450,5788440
93244,36.3866,-118.964,3187110,5761760
93245,36.2919,-119.849,3160470,5499820
93247,36.2105,-119.073,3123790,5727860
93249,35.6422,-119.844,2923840,5493220
93250,35.6582,-119.154,2923250,5698280
93251,35.3643,-119.662,2820830,5543810
93252,34.8316,-119.367,2624150,5626200
93254,34.9653,-119.848,2677500,5483540
93255,35.6593,-118.118,2916580,6006310
93256,35.9746,-119.304,3039760,5657040
93257,36.0043,-118.876,3047180,5784120
93260,35.8156,-118.681,2976990,5840440
93262,36.6064,-118.751,3265640,5826560
93263,35.4917,-119.305,2863910,5651650
93265,36.1885,-118.674,3112800,5845490
93266,36.1229,-119.82,3098640,5506210
93267,36.143,-119.088,3099330,5722740
93268,35.1713,-119.424,2748320,5612630
93270,35.9433,-119.048,3026250,5732730
93271,36.4316,-118.74,3201840,5828150
93272,36.0474,-119.333,3066560,5649320
93274,36.1778,-119.368,3114350,5640490
93276,35.2233,-119.295,2766120,5651920
93277,36.2996,-119.381,3158850,5637810
93280,35.6411,-119.433,2919440,5615300
93283,35.5,-118.217,2859110,5975730
93285,35.6345,-118.59,2910370,5865710
93286,36.5208,-119.04,3236590,5740600
93287,35.7406,-118.842,2950820,5791840
93291,36.39,-119.37,3191700,5642300
93292,36.3741,-119.223,3184600,5685350
93301,35.3845,-119.021,2822500,5735370
93304,35.3396,-119.024,2806180,5734000
93305,35.3891,-118.985,2823910,5745930
93306,35.4538,-118.831,2846300,5792420
93307,35.2569,-118.912,2775190,5766570
93308,35.5548,-118.927,2883800,5764940
93309,35.3433,-119.065,2807870,5721860
93311,35.1898,-119.183,2752950,5684920
93312,35.3917,-119.12,2825950,5705940
93313,35.1367,-119.042,2732440,5726620
93314,35.3922,-119.23,2827030,5673010
93401,35.235,-120.62,2784430,5256260
93402,35.2865,-120.828,2805860,5195140
93405,35.2784,-120.743,2801800,5220150
93407,35.301,-120.661,2808960,5245200
93420,35.1416,-120.414,2747970,5316460
93422,35.4668,-120.686,2869650,5240090
93426,35.8653,-120.969,3018370,5162490
93427,34.646,-120.232,2565510,5363850
93428,35.5852,-121.018,2917080,5143300
93429,34.8178,-120.553,2631820,5270140
93430,35.4902,-120.914,2881100,5172770
93432,35.4733,-120.48,2869450,5301530
93433,35.1213,-120.62,2743060,5254650
93434,34.9412,-120.619,2677540,5252230
93435,35.5089,-121.039,2889590,5135710
93436,34.6049,-120.393,2552430,5314920
93437,34.6659,-120.563,2576670,5264900
93440,34.7376,-120.279,2599350,5351230
93441,34.7264,-120.087,2593130,5408550
93442,35.4034,-120.8,2848030,5205290
93444,35.028,-120.497,2707630,5289990
93445,35.104,-120.615,2736720,5255850
93446,35.6527,-120.735,2937930,5228480
93449,35.1582,-120.651,2756920,5245840
93450,36.0584,-120.795,3086350,5217160
93451,35.8665,-120.513,3012950,5297540
93452,35.7139,-121.162,2965900,5102760
93453,35.2391,-120.033,2779140,5431800
93454,34.9315,-120.238,2669440,5366230
93455,34.8244,-120.393,2632280,5318340
93458,34.9571,-120.494,2681770,5289890
93460,34.6787,-119.981,2574620,5439800
93461,35.616,-120.278,2918980,5363780
93463,34.6027,-120.129,2548570,5394500
93465,35.5345,-120.714,2894640,5232950
93501,35.0544,-118.142,2696460,5995060
93505,35.1827,-117.825,2741610,6090850
93510,34.4502,-118.198,2476840,5974340
93512,37.8,-118.634,3700300,5870660
93513,37.2979,-117.914,3512980,6076550
93514,37.4725,-118.375,3579100,5943440
93516,34.9983,-117.596,2673500,6158470
93517,38.264,-119.096,3873160,5741690
93518,35.3599,-118.449,2809520,5905660
93519,35.3581,-117.887,2805750,6073290
93523,34.9957,-117.874,2673710,6074970
93524,34.9044,-117.657,2639580,6139760
93526,36.9274,-117.9,3377710,6078550
93527,35.7071,-117.929,2933060,6062740
93528,35.3712,-117.66,2809540,6140990
93529,37.8132,-118.997,3707760,5765750
93531,35.229,-118.604,2762820,5858460
93532,34.6855,-118.566,2564750,5865400
93534,34.7187,-118.149,2574310,5990970
93535,34.7338,-117.894,2578520,6067520
93536,34.7564,-118.415,2589600,5911170
93541,38.0234,-118.964,3784290,5777180
93543,34.5075,-117.938,2496350,6053180
93544,34.482,-117.747,2486190,6110460
93545,36.3956,-117.997,3184150,6046830
93546,37.6175,-118.866,3635290,5802060
93550,34.4866,-118.075,2489410,6011650
93551,34.5956,-118.223,2529900,5967800
93552,34.5791,-118.022,2522810,6028300
93553,34.457,-117.89,2477730,6067130
93554,35.4098,-117.728,2823870,6120900
93555,35.696,-117.451,2926670,6205060
93560,34.9199,-118.497,2649670,5887770
93561,35.1532,-118.503,2734580,5888040
93562,35.6725,-117.357,2918170,6232480
93563,34.3074,-117.872,2423190,6071700
93591,34.6036,-117.813,2530720,6091240
93601,37.3798,-119.741,3556010,5544880
93602,37.0826,-119.431,3444700,5632020
93603,36.6414,-118.982,3280090,5758740
93604,37.316,-119.549,3530900,5600160
93608,36.5235,-120.312,3249860,5366660
93609,36.5287,-119.868,3246950,5497220
93610,37.0964,-120.273,3458260,5386080
93611,36.8275,-119.681,3354000,5555770
93612,36.8146,-119.711,3349600,5546750
93614,37.2078,-119.737,3493240,5543910
93615,36.5061,-119.285,3233260,5668560
93616,36.6541,-119.593,3289970,5579660
93618,36.5216,-119.388,3239790,5638180
93619,36.9144,-119.577,3384710,5587170
93620,37.0581,-120.631,3448470,5281020
93621,36.739,-119.048,3316220,5740580
93622,36.8506,-120.571,3372150,5295410
93623,37.4982,-119.651,3598350,5572670
93625,36.6234,-119.667,3279480,5557470
93626,37.0564,-119.66,3437250,5564710
93627,36.4817,-120.17,3233050,5407890
93628,36.7948,-118.919,3335540,5778700
93630,36.7139,-120.118,3317110,5426130
93631,36.4794,-119.517,3225570,5599940
93633,36.8452,-118.718,3352520,5838250
93635,36.9814,-120.972,3424870,5180060
93636,36.9827,-119.873,3412500,5501470
93637,36.91,-120.162,3389050,5416010
93638,37.039,-120.034,3434680,5455110
93640,36.6204,-120.56,3288120,5294970
93641,36.6973,-119.046,3300980,5740600
93643,37.2671,-119.447,3512130,5629210
93644,37.4192,-119.507,3568180,5613360
93645,37.1682,-119.65,3477950,5569020
93646,36.6314,-119.276,3278850,5672340
93647,36.578,-119.202,3258770,5693690
93648,36.6212,-119.519,3277300,5600810
93650,36.8407,-119.801,3360000,5520700
93651,37,-119.516,3415340,5606230
93652,36.5947,-119.903,3271370,5487620
93653,37.2665,-119.96,3516900,5479600
93654,36.6658,-119.397,3292450,5637200
93656,36.4501,-119.933,3218980,5477200
93657,36.8122,-119.414,3345950,5633850
93660,36.5909,-120.177,3272900,5407250
93662,36.5465,-119.641,3251200,5564320
93664,37.1122,-119.069,3452440,5737930
93667,36.9898,-119.391,3410520,5642420
93668,36.6752,-120.303,3305040,5371450
93669,37.282,-119.553,3518560,5598610
93675,36.7188,-119.197,3310050,5696450
93701,36.7494,-119.788,3326600,5523550
93702,36.7396,-119.754,3322670,5533240
93703,36.7689,-119.762,3333430,5531320
93704,36.7998,-119.801,3345080,5520250
93705,36.7868,-119.828,3340630,5512080
93706,36.6526,-119.903,3292470,5488490
93710,36.8232,-119.76,3353220,5532450
93711,36.8349,-119.831,3358200,5512010
93720,36.8594,-119.761,3366420,5532660
93721,36.7329,-119.784,3320520,5524510
93722,36.8021,-119.878,3346700,5497590
93723,36.7845,-119.955,3341080,5474940
93725,36.6259,-119.737,3281070,5536860
93726,36.7941,-119.761,3342630,5531860
93727,36.7518,-119.698,3326590,5549840
93728,36.7575,-119.817,3329860,5514940
93730,36.9032,-119.757,3382360,5534480
93737,36.7561,-119.643,3327640,5566000
93741,36.7672,-119.796,3333150,5521350
93901,36.6587,-121.65,3316960,4975790
93905,36.6806,-121.61,3324340,4987800
93906,36.7247,-121.628,3340660,4983590
93907,36.7748,-121.66,3359410,4975090
93908,36.6311,-121.603,3306200,4989140
93920,36.0851,-121.548,3106540,4995340
93923,36.4182,-121.826,3232080,4919540
93924,36.3983,-121.632,3221860,4976090
93925,36.5909,-121.407,3288680,5045850
93926,36.5341,-121.407,3267990,5044710
93927,36.2237,-121.37,3154420,5050270
93930,36.203,-121.067,3142610,5139180
93932,35.9887,-121.239,3067010,5084800
93933,36.6758,-121.786,3325290,4936190
93940,36.5809,-121.843,3291630,4917510
93943,36.5974,-121.873,3298130,4909030
93944,36.6023,-121.915,3300570,4896910
93950,36.6192,-121.926,3306910,4894100
93953,36.5854,-121.943,3294880,4888250
93955,36.6253,-121.82,3307430,4925200
93960,36.4028,-121.345,3219280,5060680
94002,37.5134,-122.299,3638770,4803440
94005,37.689,-122.413,3704720,4774150
94010,37.5673,-122.366,3659570,4785050
94014,37.6905,-122.447,3705870,4764310
94015,37.6814,-122.481,3703130,4754280
94019,37.4868,-122.415,3631060,4769150
94020,37.2929,-122.241,3557470,4815590
94021,37.2476,-122.259,3541240,4809530
94022,37.3626,-122.147,3581270,4844600
94024,37.3499,-122.093,3575770,4860000
94025,37.4635,-122.175,3618520,4838350
94027,37.453,-122.204,3615190,4829680
94028,37.3753,-122.217,3587090,4824310
94030,37.5998,-122.403,3672040,4775160
94035,37.4179,-122.051,3599890,4873380
94037,37.5412,-122.507,3652490,4743600
94038,37.5492,-122.498,3655240,4746450
94040,37.3803,-122.086,3586730,4862720
94041,37.3883,-122.076,3589500,4865690
94043,37.4181,-122.076,3600370,4866120
94044,37.6054,-122.481,3675420,4752500
94060,37.2104,-122.338,3529010,4785660
94061,37.4617,-122.236,3618890,4820510
94062,37.4149,-122.301,3602930,4800710
94063,37.5062,-122.212,3634700,4828630
94065,37.5357,-122.245,3646020,4819470
94066,37.6235,-122.434,3681210,4766540
94070,37.4962,-122.27,3632030,4811490
94074,37.309,-122.367,3565450,4779410
94080,37.6556,-122.422,3692700,4770730
94085,37.3882,-122.016,3588500,4883100
94086,37.3716,-122.024,3582560,4880560
94087,37.3513,-122.037,3575390,4876250
94089,37.4243,-122.017,3601660,4883640
94102,37.7795,-122.42,3737840,4774170
94103,37.7731,-122.411,3735360,4776440
94104,37.7915,-122.402,3741920,4779520
94105,37.7886,-122.394,3740720,4781780
94107,37.7648,-122.395,3732060,4781050
94108,37.7917,-122.409,3742090,4777650
94109,37.793,-122.421,3742790,4774000
94110,37.7497,-122.415,3726900,4774750
94111,37.7993,-122.4,3744710,4780250
94112,37.7204,-122.443,3716710,4766000
94114,37.7581,-122.436,3730300,4769050
94115,37.7859,-122.437,3740460,4769150
94116,37.7446,-122.487,3726260,4754050
94117,37.7704,-122.444,3734920,4767030
94118,37.7807,-122.462,3738990,4761920
94121,37.7798,-122.495,3739250,4752440
94122,37.7625,-122.486,3732760,4754660
94123,37.8008,-122.436,3745870,4769780
94124,37.7319,-122.385,3719890,4783090
94127,37.7353,-122.46,3722420,4761560
94128,37.6214,-122.383,3679560,4781330
94129,37.7975,-122.466,3745180,4761060
94130,37.8207,-122.37,3752010,4789530
94131,37.7459,-122.444,3725980,4766520
94132,37.7211,-122.507,3718060,4747700
94133,37.8036,-122.412,3746480,4776950
94134,37.719,-122.412,3715650,4775200
94158,37.7711,-122.391,3734280,4782360
94301,37.4439,-122.15,3610960,4845240
94303,37.4542,-122.122,3614240,4853600
94304,37.3988,-122.172,3594890,4837850
94305,37.4244,-122.167,3604130,4839930
94306,37.4157,-122.129,3600370,4850700
94401,37.5743,-122.32,3661340,4798710
94402,37.5411,-122.333,3649460,4794150
94403,37.5382,-122.305,3647920,4802340
94404,37.5556,-122.27,3653680,4812860
94501,37.7747,-122.275,3733630,4815870
94502,37.737,-122.241,3719320,4824930
94503,38.1939,-122.229,3885780,4838060
94505,37.8663,-121.589,3756210,5016160
94506,37.8091,-121.903,3740140,4924250
94507,37.853,-122.006,3757780,4895410
94508,38.5799,-122.448,4030320,4783380
94509,37.9934,-121.814,3806010,4953520
94510,38.0987,-122.132,3849430,4864100
94512,38.1275,-121.839,3855290,4949170
94513,37.9116,-121.715,3774620,4980740
94514,37.8119,-121.656,3737350,4995870
94515,38.6109,-122.603,4044340,4739730
94517,37.8886,-121.886,3768870,4930820
94518,37.9508,-122.022,3793740,4892600
94519,37.9888,-122.007,3807350,4897930
94520,38.015,-122.039,3817420,4889210
94521,37.9704,-121.958,3799840,4911720
94523,37.9543,-122.076,3795870,4877090
94525,38.0488,-122.226,3832770,4835960
94526,37.8143,-121.989,3743400,4899570
94528,37.8407,-121.96,3752570,4908450
94530,37.9229,-122.292,3787980,4814050
94531,37.956,-121.784,3791860,4961680
94533,38.2799,-122.014,3913680,4901660
94534,38.2413,-122.122,3901330,4869870
94535,38.2729,-121.938,3909900,4923370
94536,37.571,-121.988,3654660,4894910
94538,37.4991,-121.978,3628310,4896380
94539,37.5266,-121.913,3637280,4915860
94541,37.6746,-122.085,3694010,4869000
94542,37.6557,-122.028,3686180,4884990
94544,37.6332,-122.057,3678460,4876240
94545,37.6322,-122.118,3679070,4858330
94546,37.7533,-122.097,3722870,4867060
94547,38.0056,-122.26,3817610,4825110
94548,37.975,-121.649,3796780,5000970
94549,37.9011,-122.117,3777110,4864200
94550,37.5121,-121.625,3627510,4999210
94551,37.7489,-121.765,3716020,4963190
94552,37.7065,-122.009,3704400,4891560
94553,37.9817,-122.165,3807330,4851930
94555,37.5476,-122.081,3647640,4867350
94556,37.8329,-122.111,3752140,4864560
94558,38.4987,-122.266,3997560,4833800
94559,38.2393,-122.331,3904020,4809720
94560,37.5185,-122.037,3636310,4879500
94561,38.0314,-121.657,3817450,4999770
94563,37.8717,-122.187,3767530,4843460
94564,37.9943,-122.285,3813880,4817590
94565,38.0164,-121.911,3815890,4925940
94566,37.6511,-121.855,3681780,4935010
94567,38.6716,-122.443,4063750,4786690
94568,37.7136,-121.917,3705520,4918420
94569,38.0455,-122.188,3830960,4846870
94571,38.1763,-121.755,3871820,4974130
94572,38.0257,-122.245,3824670,4829990
94574,38.5365,-122.396,4013630,4797240
94576,38.5501,-122.477,4019940,4774480
94577,37.7166,-122.165,3710610,4846680
94578,37.7065,-122.125,3706270,4857850
94579,37.6865,-122.158,3699540,4848050
94580,37.6759,-122.135,3695300,4854270
94582,37.7633,-121.915,3723630,4919980
94583,37.766,-121.99,3725820,4898180
94585,38.1648,-121.951,3870650,4917620
94586,37.5696,-121.87,3652270,4929170
94587,37.5996,-122.045,3666020,4878790
94588,37.7188,-121.881,3706870,4928960
94589,38.1409,-122.248,3866770,4831410
94590,38.1037,-122.249,3853200,4830410
94591,38.1171,-122.199,3857240,4844980
94592,38.1254,-122.312,3862150,4812770
94595,37.8714,-122.069,3765490,4877550
94596,37.8883,-122.036,3771160,4887260
94597,37.9181,-122.071,3782600,4877760
94598,37.903,-121.999,3775920,4898480
94599,38.4093,-122.367,3966700,4802760
94601,37.7769,-122.218,3733500,4832480
94602,37.8041,-122.207,3743210,4836200
94603,37.739,-122.176,3718970,4843750
94605,37.7602,-122.149,3726270,4852170
94606,37.7925,-122.245,3739620,4825070
94607,37.8083,-122.298,3746280,4809910
94608,37.8357,-122.285,3756060,4814390
94609,37.8347,-122.264,3755330,4820350
94610,37.812,-122.241,3746680,4826650
94611,37.8314,-122.216,3753330,4834090
94612,37.8086,-122.267,3745880,4818900
94613,37.7807,-122.183,3734310,4842680
94618,37.8445,-122.238,3758470,4828080
94619,37.7918,-122.174,3738190,4845510
94621,37.7364,-122.207,3718550,4834740
94702,37.866,-122.286,3767130,4814640
94703,37.8641,-122.276,3766260,4817640
94704,37.8665,-122.253,3766750,4824110
94705,37.8593,-122.241,3763930,4827560
94706,37.8899,-122.295,3776000,4812520
94707,37.8982,-122.279,3778760,4817300
94708,37.9003,-122.26,3779180,4823000
94709,37.8791,-122.267,3771580,4820520
94710,37.8707,-122.303,3769120,4809720
94720,37.8752,-122.243,3769760,4827250
94801,37.9521,-122.379,3800080,4789520
94803,37.9619,-122.282,3802020,4817870
94804,37.9209,-122.342,3788080,4799740
94805,37.9418,-122.322,3795340,4805990
94806,37.9782,-122.336,3808880,4802470
94901,37.9772,-122.505,3811410,4753690
94903,38.0233,-122.547,3828920,4742750
94904,37.9478,-122.545,3801370,4741550
94920,37.8874,-122.465,3777970,4763300
94922,38.3351,-122.948,3949870,4634340
94923,38.3369,-123.027,3952030,4611580
94924,37.9287,-122.703,3797200,4695660
94925,37.9228,-122.513,3791690,4750410
94928,38.3463,-122.695,3949370,4707210
94929,38.251,-122.957,3919380,4629860
94930,37.9636,-122.628,3808590,4717930
94931,38.3259,-122.718,3942340,4700090
94933,38.0118,-122.688,3827230,4701680
94937,38.0906,-122.923,3860250,4635690
94938,38.0121,-122.704,3827650,4697050
94939,37.9381,-122.533,3797640,4744860
94940,38.1951,-122.89,3897740,4647830
94941,37.8931,-122.565,3781770,4734530
94945,38.1289,-122.556,3867600,4742450
94946,38.0519,-122.705,3842150,4697780
