Van ID,Employer,Van Type,Vehicle Capacity,Industry,Industry Type,Origin,Destination,Origin Zip,Destination Zip,Daily Round Trip Mileage
2587,Volcano Corporation,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,North City,North County West,92124,92055,112
2590,Camp Pendleton,2019 Dodge DURA - 7 Seats,7,Military,Military,South Suburban,North City,91913,92161,95
2592,VA Medical Center,2018 Ford Explorer - 7 Seats,7,Government & Public Administration,Federal,South Suburban,Central,92173,92113,47
2595,BAE Systems,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,East Suburban,Central,91915,92132,40
2598,NAVFAC Southwest,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,Central,92584,92106,154
2601,Naval Base Point Loma,2019 Chevrolet TRAV - 7 Seats,7,Military,Military,North City,South Suburban,92128,92179,78
2602,RJ Donovan Correction Facility,2019 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North County West,92563,92055,52
2603,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,North County East,North City,92078,92122,62
2608,Illumina,2019 Ford EXPL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North County West,92592,92008,74
2611,Thermo Fisher Scientific,2019 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,South Suburban,92592,92173,150
2613,US Border Patrol - San Ysidro,2020 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,East Suburban,North City,91942,92122,30
2614,Illumina,2020 Nissan ARMADA - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Central,North City,91950,92161,42
2616,VA Medical Center,2018 Ford Explorer - 7 Seats,7,Government & Public Administration,Federal,South Suburban,North City,91911,92161,60
2618,VA Hospital - San Diego,2020 Ford TRANS - 9 Seats,9,Government & Public Administration,Federal,Riverside County,Central,92591,92136,124
2619,Naval Base San Diego,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North City,92530,92127,134
2621,BAE Systems,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,East Suburban,92592,92020,122
2623,US Border Patrol,2019 Ford TRANS - 8 Seats,8,Government & Public Administration,Federal,Riverside County,Central,92591,92101,138
2624,Metropolitan Correctional Center,2020 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North City,92592,92161,108
2625,VA Medical Center,2019 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,Central,North County West,91950,92010,94
2626,HME,2020 Ford TRANS - 10 Seats,10,Manufacturing,Non-Federal,East Suburban,Central,92021,92101,40
2628,East County Transitional Living,2019 Ford EXPL - 7 Seats,7,Health Care & Social Assistance,Non-Federal,Central,North County West,92114,92010,88
2632,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,North City,North County West,92126,92010,62
2635,HME,2020 Buick ENCL - 7 Seats,7,Manufacturing,Non-Federal,Central,North County West,91950,92008,76
2636,Thermo Fisher Scientific,2019 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,South Suburban,North City,91911,92093,58
2638,UCSD,2020 Dodge DURA - 7 Seats,7,Education Services & Academic Institutions,Non-Federal,South Suburban,Imperial County,92154,92243,178
2639,Naval Base El Centro,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North City,92585,92145,136
2640,MCAS Miramar,2020 Nissan PATH - 7 Seats,7,Military,Military,South Suburban,North City,91910,92127,58
2643,Scripps 4S,2019 Dodge DURA - 7 Seats,7,Health Care & Social Assistance,Non-Federal,North City,North County West,92126,92008,52
2649,Thermo FIsher Scientific,2019 Ford TRANS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,Central,91914,92152,60
2651,SPAWAR,2019 Ford TRANS - 15 Seats,15,Military,Military,South Suburban,North County East,92173,92081,102
3192,Watkins Manufacturing,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,Orange County,North County West,92651,92058,162
3195,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,East Suburban,North City,91945,92161,44
3200,VA Medical Center,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North County West,92591,92055,78
3202,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non-Federal,North City,North County West,92126,92008,54
3203,Thermo Fisher Scientific,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North County East,North City,92078,92122,62
3205,Illumina,2018 Ford Explorer - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,North City,91945,92161,85
3206,VA Medical Center,2020 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92591,92134,122
3207,Naval Medical Center,2019 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North County West,92596,92008,98
3325,Thermo Fisher Scientific,2019 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North County East,North City,92025,92122,56
3332,Illumina,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,East County,91942,91962,84
3339,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,East Suburban,North County West,91942,92010,80
3340,HME,2019 Ford EXPL - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,North City,92591,92121,114
3344,Qualcomm,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North City,North City,92131,92122,22
3358,Illumina Inc,2019 Ford TRANS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North County East,East County,92027,91962,204
3364,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,North City,North City,92129,92161,84
3368,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Health Care & Social Assistance,Federal,Central,North City,91950,92127,56
3370,Scripps Health,2020 Dodge DURA - 7 Seats,7,Health Care & Social Assistance,Non-Federal,North City,North County West,92126,92010,62
3372,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,Central,North County West,91950,92010,80
3375,HME,2020 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non-Federal,East Suburban,North County West,91977,92010,90
3376,HME,2018 Ford Explorer - 7 Seats,7,Manufacturing,Non-Federal,North City,North County West,92128,92010,60
3379,HME,2020 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,92592,92135,132
3487,NASNI,2020 Nissan PATH - 7 Seats,7,Military,Military,North City,North County West,92126,92008,50
3488,Thermo Fisher Scientific,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,North City,91942,92093,48
3489,UCSD,2019 Volkswagen ATLAS - 7 Seats,7,Education Services & Academic Institutions,Non-Federal,East Suburban,North City,91915,92093,56
3490,UCSD,2020 Buick ENCL - 7 Seats,7,Education Services & Academic Institutions,Non-Federal,Orange County,Central,92677,92132,140
3492,Navy Broadway Complex,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92595,92135,150
3494,NASNI,2019 Ford TRANS - 9 Seats,9,Military,Military,South Suburban,North City,91911,92093,52
3496,UCSD,2020 Dodge DURA - 7 Seats,7,Education Services & Academic Institutions,Non-Federal,Riverside County,North City,92592,92161,122
3606,VA Medical Center,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North City,92562,92145,102
3610,MCAS Miramar,2018 Ford TRANS - 10 Seats,10,Military,Military,South Suburban,North County West,92173,92008,100
3613,"Contract Services Group, Inc.",2018 Ford TRANS - 7 Seats,7,"Arts, Entertainment, & Recreation",Non-Federal,Riverside County,Central,92563,92140,160
3615,MCRD,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,East Suburban,Central,92071,92106,60
3616,SPAWAR,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,North City,North City,92126,92122,60
3618,Illumina,2019 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,Central,91942,92106,38
3619,Naval Base San Diego,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,Central,North City,92139,92161,60
3620,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Health Care & Social Assistance,Federal,North City,North City,92126,92121,33
3733,Illumina,2019 Ford TRANS - 10 Seats,10,"Professional, Scientific, & Technical Services",Non-Federal,Orange County,North City,92618,92131,110
3734,Intel,2020 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,Central,92591,92136,124
3735,Naval Base San Diego,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North County West,92591,92055,108
3736,Camp Pendleton,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,North County West,92563,92055,82
3737,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North City,92591,92145,96
3951,MCAS Miramar,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,North County East,North City,92029,92122,60
3952,Illumina Inc,2019 Ford TRANS - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Imperial County,Central,92249,92113,232
3953,BAE Systems,2019 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Central,North County West,91950,92010,78
4062,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,East Suburban,North County West,92021,92008,78
4063,Thermo Fisher Scientific,2020 Buick ENCL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,East County,91941,91962,104
4065,US Border Patrol - Campo,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Federal,Imperial County,East County,92243,91905,110
4067,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92591,92134,124
4072,Naval Hospital - Bob Wilson Dr. (SD),2019 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,Central,92563,92135,138
4073,NASNI,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,South Suburban,Central,92154,92113,44
4077,BAE Systems,2019 Ford TRANS - 10 Seats,10,Manufacturing,Non-Federal,Imperial County,Central,92243,92113,224
4078,Nassco,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,North City,92596,92145,190
4081,MCAS Miramar,2019 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,Central,92591,92135,152
4088,NASNI,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,North County East,North County West,92081,92055,85
4089,Camp Pendleton,2018 Nissan Pathfinder - 7 Seats,7,Military,Military,North County West,North City,92057,92161,85
4092,VA Medical Center,2018 Volkswagen ATLAS - 7 Seats,7,Health Care & Social Assistance,Federal,Central,North City,91950,92117,35
4093,Costco,2019 Nissan PATH - 7 Seats,7,Retail Trade,Non-Federal,South Suburban,North City,91910,92127,66
4094,Scripps Health,2019 Dodge DURA - 7 Seats,7,Health Care & Social Assistance,Non-Federal,North County East,North City,92026,92145,46
4098,MCAS Miramar,2020 Nissan PATH - 7 Seats,7,Military,Military,North City,North County West,92131,92010,60
4099,HME,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,North County West,Central,92057,92136,94
4100,NAVY,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,South Suburban,92592,92173,148
4101,US Border Patrol,2019 Ford EXPL - 7 Seats,7,Government & Public Administration,Federal,North City,Central,92126,92152,60
4102,SPAWAR,2019 Ford TRANS - 12 Seats,12,Military,Military,Riverside County,North City,92591,92064,85
4103,General Atomics,2018 Ford TRANS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,Central,92590,92135,160
4104,NASNI,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92584,92135,150
4107,NASNI,2020 Nissan PATH - 7 Seats,7,Military,Military,Orange County,North County West,92694,92056,70
4110,Genentech,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,North County West,92592,92056,80
4111,Genentech,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,North City,92591,92123,122
4112,Marines,2018 Nissan Pathfinder - 7 Seats,7,Military,Military,East Suburban,North City,92071,92145,60
4115,MCAS Miramar,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92591,92155,160
4116,NAB,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,North County West,92563,92055,70
4117,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,Central,92592,92106,156
4120,Navy,2019 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North County West,92592,92056,52
4122,Genentech,2019 Kia Sorento - 7 Seats,7,Manufacturing,Non-Federal,East Suburban,North County West,91977,92008,85
4123,Thermo Fisher Scientific,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,East Suburban,East County,91942,91905,104
4126,US Border Patrol,2018 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North County West,92590,92056,60
4129,"Gilead Sciences, Oceanside",2018 Nissan ARMADA - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Central,North City,91950,92161,85
4131,VA Medical Center,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North County West,92562,92055,80
4132,Camp Pendleton,2019 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,North County West,92596,92055,110
4133,Camp Pendleton,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,East Suburban,East County,91942,91905,66
4137,US Border Patrol - Pine Valley,2019 Ford TRANS - 10 Seats,10,Government & Public Administration,Federal,Imperial County,Central,92231,92113,240
4139,BAE Systems,2019 Ford EXPL - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,North County West,92562,92055,84
4140,Camp Pendleton,2019 Ford EXPL - 7 Seats,7,Military,Military,North County East,Central,92029,92135,61
4141,NASNI,2019 Ford EXPL - 7 Seats,7,Military,Military,North County East,North County West,92083,92008,28
4142,Grand Pacific Palisades,2020 Nissan PATH - 7 Seats,7,"Arts, Entertainment, & Recreation",Non-Federal,Orange County,North City,92691,92122,120
4143,Illumina,2019 Ford EXPL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North County East,North City,92029,92110,52
4149,SPAWAR Old Town,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92592,92136,122
4158,Naval Base San Diego,2019 Ford TRANS - 9 Seats,9,Military,Military,Riverside County,North County West,92571,92055,108
4160,Camp Pendleton,2019 Ford TRANS - 7 Seats,7,Military,Military,North County West,Central,92056,92135,94
4161,NASNI,2019 Volkswagen ATLAS - 7 Seats,7,Military,Military,Central,North City,92115,92161,42
4162,VA Medical Center,2020 Buick ENCL - 7 Seats,7,Health Care & Social Assistance,Federal,Riverside County,Central,92596,92135,146
4163,NASNI,2019 Volkswagen ATLAS - 7 Seats,7,Military,Military,Central,North City,91950,92161,42
4164,VA Medical Center,2020 Buick ENCL - 7 Seats,7,Health Care & Social Assistance,Federal,North County East,Central,92028,92135,126
4167,NASNI,2019 Volkswagen ATLAS - 7 Seats,7,Military,Military,Orange County,North County West,92675,92008,70
4169,Thermo Fisher Scientific,2019 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,South Suburban,Central,92173,92113,34
4173,BAE Systems,2020 Ford EXPE - 8 Seats,8,Manufacturing,Non-Federal,Riverside County,North City,92584,92145,126
4174,MCAS Miramar,2019 Ford EXPL - 7 Seats,7,Military,Military,South Suburban,North City,91913,92161,62
4175,VA Medical Center,2019 Ford EXPL - 7 Seats,7,Government & Public Administration,Federal,East Suburban,East County,91942,91905,104
4178,US BORDER PATROL,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Central,North County West,92114,92055,102
4181,Camp Pendleton,2019 Dodge DURA - 7 Seats,7,Military,Military,East Suburban,North County West,91915,92055,124
4184,Camp Pendleton,2020 Dodge DURA - 7 Seats,7,Military,Military,East Suburban,East County,91942,91905,104
4186,US Border Patrol Blvd,2019 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Imperial County,East County,92251,91905,104
4187,US Border Patrol,2019 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,East Suburban,North City,91915,92161,62
4188,VA Medical Center,2017 Ford TRANS - 8 Seats,8,Government & Public Administration,Federal,Imperial County,Central,92231,92113,230
4189,Nassco,2020 Ford EXPE - 8 Seats,8,Manufacturing,Non-Federal,South Suburban,Central,91910,92135,56
4190,NASNI,2018 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92562,92136,130
4193,Naval Base San Diego,2020 Ford EXPE - 8 Seats,8,Military,Military,Riverside County,Central,92592,92152,124
4194,SPAWAR,2019 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North City,92562,92161,128
4198,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Health Care & Social Assistance,Federal,North County East,Central,92028,92135,100
4199,Navy - North Island,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North County West,92563,92055,100
4200,Camp Pendleton,2019 Nissan PATH - 7 Seats,7,Military,Military,North County East,North City,92025,92122,48
4204,Illumina Inc,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,North City,North County West,92124,92010,64
4205,Diakont,2019 Ford TRANS - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Imperial County,Central,92231,92113,238
4207,NASSCO,2019 Ford TRANS - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,92563,92135,138
4208,NASNI,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92591,92101,122
4209,Metropolitan Correctional Center,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North City,92591,92145,96
4210,MCAS Miramar,2019 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,Central,92591,92136,124
4212,Naval Base San Diego,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,North County East,East County,92025,91962,134
4213,US Border Patrol,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92592,92132,116
4215,Fleet & Industry Supply Center,2019 Ford TRANS - 8 Seats,8,Military,Military,Imperial County,Central,92231,92113,236
4216,General Dynamics - NASSCO,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,North City,92592,92145,92
4217,MCAS Miramar,2020 Nissan PATH - 7 Seats,7,Military,Military,North City,North County West,92131,92010,52
4218,HME,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,North County West,Central,92057,92101,88
4220,METROPOLITAN CORRECTIONAL CENTER,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,Riverside County,South Suburban,92592,92173,140
4222,US Border Patrol - San Ysidro,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,Imperial County,East County,92231,91906,118
4224,Golden Acorn Casino,2020 Dodge DURA - 7 Seats,7,"Arts, Entertainment, & Recreation",Non-Federal,Riverside County,North City,92563,92037,126
4228,KHS&S,2019 Nissan PATH - 7 Seats,7,Construction,Non-Federal,North County East,East County,92029,91962,134
4229,US Border Patrol,2019 Ford EXPL - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92592,92135,124
4230,NASNI,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,North City,92530,92111,144
4231,California Army National Guard,2019 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,East Suburban,92591,92020,122
4232,US Border Patrol - El Cajon,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,South Suburban,Central,91911,92113,22
4340,BAE Systems,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,92591,92136,134
4341,Navy,2019 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,Central,92563,92118,140
4343,NAVY - NORTH ISLAND,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North County West,92592,92010,74
4344,HME,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,East Suburban,North City,92071,92117,32
4345,Costco,2020 Nissan PATH - 7 Seats,7,Retail Trade,Non-Federal,Riverside County,North City,92585,92108,144
4346,VA Hospital - San Diego,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North City,92592,92108,108
4348,VA Hospital-San Diego,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North County East,92591,92029,64
4349,Palomar Health,2020 Buick ENCL - 7 Seats,7,Health Care & Social Assistance,Non-Federal,East Suburban,East County,92071,91962,82
4354,US Border Patrol - Pine Valley,2020 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,East Suburban,East County,91941,91962,80
4355,US Border Patrol - Pine Valley,2020 Ford TRANS - 9 Seats,9,Government & Public Administration,Federal,South Suburban,North City,91911,92161,246
4356,UCSD,2020 Dodge DURA - 7 Seats,7,Education Services & Academic Institutions,Non-Federal,East Suburban,Central,92021,92135,42
4360,NAVY - NORTH ISLAND,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,Central,92592,92101,122
4361,Solar Turbines - Pacific Hwy,2020 Ford TRANS - 14 Seats,14,"Professional, Scientific, & Technical Services",Non-Federal,South Suburban,North County West,92173,92008,94
4362,Legoland,2020 Ford TRANS - 8 Seats,8,"Arts, Entertainment, & Recreation",Non-Federal,Imperial County,Central,92251,92101,236
4363,HL Welding,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,92591,92136,124
4364,Naval Base San Diego,2020 Dodge DURA - 7 Seats,7,Military,Military,North City,Central,92128,92152,88
4365,NAVWAR Point Loma,2019 Nissan PATH - 7 Seats,7,Military,Military,East Suburban,Central,92019,92106,62
4367,Navy - Point Loma,2020 Nissan PATH - 7 Seats,7,Military,Military,East Suburban,North City,92071,92161,40
4368,VA Hospital - San Diego,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Federal,East Suburban,East County,91942,91962,88
4369,US.Border Patrol - Pine Valley,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92584,92136,142
4370,San Diego Naval Base,2020 Buick ENCL - 7 Seats,7,Military,Military,South Suburban,Central,91911,92113,20
4371,BAE Systems Inc,2019 Ford TRANS - 9 Seats,9,Manufacturing,Non-Federal,Orange County,North County East,92691,92081,98
4372,Zettler Group,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non-Federal,Orange County,North County East,92603,92081,112
4373,Zettler Group,2019 Volkswagen ATLAS - 7 Seats,7,Manufacturing,Non-Federal,Central,North City,91950,92161,42
4374,VA Hospital - San Diego,2020 Ford EXPL - 7 Seats,7,Government & Public Administration,Federal,Riverside County,North City,92591,92123,114
4375,Sharp Health Care,2019 Ford TRANS - 8 Seats,8,Health Care & Social Assistance,Non-Federal,Riverside County,South Suburban,92592,92173,146
4381,US Border Patrol - San Ysidro,2020 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Federal,Riverside County,Central,92592,92136,100
4382,Naval Base SD,2019 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North City,92591,92161,152
4383,VA Medical Center,2020 Ford TRANS - 8 Seats,8,Government & Public Administration,Federal,Riverside County,Central,92595,92136,153
4384,32nd Street Naval Station,2019 Ford TRANS - 12 Seats,12,Military,Military,Riverside County,Central,92584,92136,153
4385,Naval Base North Island,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92584,92136,150
4386,Staff Pro Workforce,2019 Ford TRANS - 15 Seats,15,"Arts, Entertainment, & Recreation",Non-Federal,South Suburban,North County East,92154,92082,126
4388,Naval Base SD,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92592,92136,150
4389,Naval Base North Island,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,Central,92563,92135,150
4390,MCAS Miramar,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,North City,92562,92145,125
